"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2019,1,"OO","SkyWest Airlines Inc.","SFO","San Francisco, CA: San Francisco International",3394.00,929.00,107.59,17.85,466.98,1.01,335.56,289.00,29.00,105380.00,18081.00,3787.00,53967.00,39.00,29506.00,
2019,1,"UA","United Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",4303.00,1073.00,160.99,32.49,664.23,0.00,215.30,40.00,9.00,104266.00,16046.00,3238.00,64286.00,0.00,20696.00,
2019,1,"WN","Southwest Airlines Co.","SFO","San Francisco, CA: San Francisco International",1207.00,318.00,51.39,7.04,152.23,0.00,107.34,87.00,0.00,24422.00,3270.00,569.00,12330.00,0.00,8253.00,
2019,2,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",972.00,395.00,74.48,6.20,244.25,0.00,70.08,21.00,6.00,23813.00,4598.00,298.00,14460.00,0.00,4457.00,
2019,2,"AS","Alaska Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1855.00,701.00,84.88,19.21,414.52,0.00,182.39,136.00,26.00,49212.00,4883.00,2424.00,27491.00,0.00,14414.00,
2019,2,"B6","JetBlue Airways","SFO","San Francisco, CA: San Francisco International",406.00,149.00,31.21,2.55,100.32,0.00,14.92,4.00,0.00,11525.00,3188.00,619.00,6605.00,0.00,1113.00,
2019,2,"DL","Delta Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",975.00,338.00,48.86,12.52,224.45,1.00,51.18,0.00,1.00,25117.00,3826.00,2287.00,14361.00,38.00,4605.00,
2019,2,"F9","Frontier Airlines Inc.","SFO","San Francisco, CA: San Francisco International",62.00,31.00,6.04,0.32,17.12,0.00,7.51,0.00,0.00,2287.00,293.00,12.00,1296.00,0.00,686.00,
2019,2,"HA","Hawaiian Airlines Inc.","SFO","San Francisco, CA: San Francisco International",56.00,15.00,7.31,0.00,1.00,0.00,6.69,0.00,0.00,907.00,235.00,0.00,23.00,0.00,649.00,
2019,2,"OO","SkyWest Airlines Inc.","SFO","San Francisco, CA: San Francisco International",3131.00,1012.00,106.48,15.34,544.03,1.49,344.66,315.00,24.00,102500.00,22395.00,5077.00,45144.00,92.00,29792.00,
2019,2,"UA","United Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",3789.00,1188.00,156.01,24.30,794.36,0.00,213.34,27.00,6.00,103128.00,13075.00,5541.00,64112.00,0.00,20400.00,
2019,2,"WN","Southwest Airlines Co.","SFO","San Francisco, CA: San Francisco International",1068.00,381.00,85.42,6.66,139.43,1.00,148.49,111.00,3.00,31395.00,6268.00,562.00,11345.00,15.00,13205.00,
2019,3,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1092.00,398.00,63.96,6.20,243.77,1.99,82.08,16.00,5.00,26677.00,5096.00,724.00,14753.00,114.00,5990.00,
2019,3,"AS","Alaska Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1958.00,525.00,74.09,5.26,290.12,0.00,155.52,72.00,11.00,30892.00,5411.00,393.00,15815.00,0.00,9273.00,
2019,3,"B6","JetBlue Airways","SFO","San Francisco, CA: San Francisco International",450.00,116.00,19.34,1.22,79.80,0.00,15.64,4.00,0.00,7953.00,1700.00,95.00,4444.00,0.00,1714.00,
2019,3,"DL","Delta Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",1146.00,309.00,43.69,6.65,221.93,0.00,36.72,0.00,0.00,21750.00,4289.00,523.00,13637.00,0.00,3301.00,
2019,3,"F9","Frontier Airlines Inc.","SFO","San Francisco, CA: San Francisco International",84.00,30.00,6.50,0.62,18.55,0.00,4.34,1.00,0.00,2424.00,667.00,29.00,1350.00,0.00,378.00,
2019,3,"HA","Hawaiian Airlines Inc.","SFO","San Francisco, CA: San Francisco International",62.00,17.00,9.93,0.00,0.00,0.00,7.07,0.00,0.00,607.00,282.00,0.00,0.00,0.00,325.00,
2019,3,"OO","SkyWest Airlines Inc.","SFO","San Francisco, CA: San Francisco International",3780.00,1210.00,123.45,11.15,656.55,0.00,418.85,169.00,28.00,114511.00,21096.00,867.00,52996.00,0.00,39552.00,
